week_end,raw_nascdi,NASCDI,news_volume,disruption_article_count,total_score
2015-02-22,6.3875325270586245,111.64668605339708,544,544,3462.0
2015-03-01,6.6052361592026205,112.28177170376536,1702,1702,11157.2
2015-03-08,7.981065979747351,116.29534634086086,2322,2322,15859.7
2015-03-15,6.391394633089989,111.65795260001629,2130,2130,13533.9
2015-03-22,8.482339817868993,117.75766379675666,3279,3279,25676.600000000002
2015-03-29,7.514855016693027,114.93531440311013,1826,1826,14951.3
2015-04-05,17.24681200590156,143.32540680983442,3893,3893,71420.7
2015-04-12,7.555431886675826,115.05368536279117,2244,2244,17326.5
2015-04-19,6.393220940025496,111.66328030776505,3019,3019,19358.7
2015-04-26,11.038204208885006,125.21363861461309,2654,2654,41365.0
2015-05-03,10.611243697819063,123.968108206225,2174,2174,25884.3
2015-05-10,9.358517084806,120.31365059371801,1680,1680,15632.2
2015-05-17,7.491117307394068,114.8660666905207,2241,2241,17500.7
2015-05-24,5.953959269414909,110.38186492202146,1498,1498,8848.4
2015-05-31,7.359649421765596,114.48254820337081,2009,2009,15201.5
2015-06-07,6.958693582423264,113.312878696758,2452,2452,17900.0
2015-06-14,6.546431502366819,112.11022659281127,2036,2036,13281.7
2015-06-21,6.831759862819983,112.94258729153886,2283,2283,15683.6
2015-06-28,10.851228630775685,124.66819293023426,2187,2187,25761.6
2015-07-05,7.3123930973184645,114.34469192026722,2280,2280,16601.0
2015-07-12,8.450756496012518,117.66552884106265,3482,3482,29759.5
2015-07-19,6.597384336872882,112.25886634549572,5968,5968,38777.2
2015-07-26,7.933305800368542,116.15602021072799,3447,3447,27644.899999999998
2015-08-02,6.853629342464374,113.0063849993051,4403,4401,29470.9
2015-08-09,7.019660259236054,113.49073085849334,5274,5274,35762.2
2015-08-16,5.682447409954105,109.58980975899915,4410,4410,24365.0
2015-08-23,5.337106502616616,108.58238028905748,4191,4191,22317.9
2015-08-30,4.603681034363946,106.4428294422723,3751,3751,16941.5
2015-09-06,6.536189409585177,112.0803483308305,3174,3174,20825.6
2015-09-13,5.8836397662897735,110.17672866896041,3323,3323,21036.6
2015-09-20,5.5832852552170795,109.30053364121977,3011,3011,16772.5
2015-09-27,6.207180705692275,111.12056321089075,2537,2537,16582.5
2015-10-04,5.444916543762491,108.89688404548573,2941,2941,15494.9
2015-10-11,5.960620689520866,110.40129763556283,3955,3955,23530.5
2015-10-18,5.781475797468003,109.87869565065752,3371,3371,19965.0
2015-10-25,5.951758164629378,110.37544385292638,3645,3643,21707.1
2015-11-01,11.175198020545492,125.61327734878581,7253,7253,112084.7
2015-11-08,6.484553763627425,111.9297166786513,4024,4024,26627.0
2015-11-15,6.909032780986189,113.16800806659043,2482,2482,16938.899999999998
2015-11-22,5.855957875764427,110.09597497976112,2436,2436,14237.2
2015-11-29,6.420965474824634,111.74421674301672,3320,3320,21227.9
2015-12-06,5.8521408428030925,110.08483992042908,2287,2287,13410.4
2015-12-13,7.2091282010225,114.04344727322818,2569,2569,18756.3
2015-12-20,6.810856379927809,112.88160759222562,2194,2194,15053.7
2015-12-27,7.412412078140618,114.63646757352136,3341,3341,26237.4
2016-01-03,6.38268937010536,111.63255758225854,4881,4881,33188.9
2016-01-10,6.038113969657173,110.62736125117574,4951,4951,31893.8
2016-01-17,5.273620850816043,108.39717976637556,3514,3514,18754.1
