date,market_role,market_name,market_subnode,variety,grade,min_pk,max_pk,avg_pk,mask,source_file
2012-09-01,terminal,Azadpur,Azadpur,American,A,35.0,37.5,36.25,1,Azadpur_American_A.csv
2012-09-02,terminal,Azadpur,Azadpur,American,A,35.0,37.5,36.25,1,Azadpur_American_A.csv
2012-09-03,terminal,Azadpur,Azadpur,American,A,37.5,40.0,38.75,1,Azadpur_American_A.csv
2012-09-04,terminal,Azadpur,Azadpur,American,A,37.5,40.0,38.75,1,Azadpur_American_A.csv
2012-09-05,terminal,Azadpur,Azadpur,American,A,37.5,41.25,39.375,1,Azadpur_American_A.csv
2012-09-06,terminal,Azadpur,Azadpur,American,A,37.5,41.25,39.375,1,Azadpur_American_A.csv
2012-09-07,terminal,Azadpur,Azadpur,American,A,37.5,41.25,39.375,1,Azadpur_American_A.csv
2012-09-08,terminal,Azadpur,Azadpur,American,A,37.5,41.25,39.375,1,Azadpur_American_A.csv
2012-09-09,terminal,Azadpur,Azadpur,American,A,37.5,41.25,39.375,1,Azadpur_American_A.csv
2012-09-10,terminal,Azadpur,Azadpur,American,A,58.75,75.0,66.875,1,Azadpur_American_A.csv
2012-09-11,terminal,Azadpur,Azadpur,American,A,37.5,43.75,40.625,1,Azadpur_American_A.csv
2012-09-12,terminal,Azadpur,Azadpur,American,A,37.5,40.0,38.75,1,Azadpur_American_A.csv
2012-09-13,terminal,Azadpur,Azadpur,American,A,37.5,40.0,38.75,1,Azadpur_American_A.csv
2012-09-14,terminal,Azadpur,Azadpur,American,A,37.5,43.75,40.625,1,Azadpur_American_A.csv
2012-09-15,terminal,Azadpur,Azadpur,American,A,37.5,43.75,40.625,1,Azadpur_American_A.csv
2012-09-16,terminal,Azadpur,Azadpur,American,A,37.5,43.75,40.625,1,Azadpur_American_A.csv
2012-09-17,terminal,Azadpur,Azadpur,American,A,37.5,43.75,40.625,1,Azadpur_American_A.csv
2012-09-18,terminal,Azadpur,Azadpur,American,A,37.5,43.75,40.625,1,Azadpur_American_A.csv
2012-09-19,terminal,Azadpur,Azadpur,American,A,37.5,43.75,40.625,1,Azadpur_American_A.csv
2012-09-20,terminal,Azadpur,Azadpur,American,A,37.5,43.75,40.625,1,Azadpur_American_A.csv
2012-09-21,terminal,Azadpur,Azadpur,American,A,37.5,46.25,41.875,1,Azadpur_American_A.csv
