market_role_prod,market_name_prod,variety,grade,week_end,avg_price_prod,market_role_term,market_name_term,avg_price_term,NASCDI
producer,Shopian,American,A,2017-10-01 23:59:59.999999999,25.0,terminal,Azadpur,50.0,
producer,Shopian,American,A,2017-10-08 23:59:59.999999999,26.428571428571427,terminal,Azadpur,50.0,
producer,Shopian,American,A,2017-10-15 23:59:59.999999999,27.857142857142858,terminal,Azadpur,50.0,
producer,Shopian,American,A,2017-10-22 23:59:59.999999999,28.75,terminal,Azadpur,52.67857142857143,
producer,Shopian,American,A,2017-10-29 23:59:59.999999999,28.75,terminal,Azadpur,53.125,
producer,Shopian,American,A,2017-11-05 23:59:59.999999999,29.821428571428573,terminal,Azadpur,53.125,
producer,Shopian,American,A,2017-11-12 23:59:59.999999999,31.25,terminal,Azadpur,53.125,
producer,Shopian,American,A,2017-11-19 23:59:59.999999999,31.25,terminal,Azadpur,53.125,
producer,Shopian,American,A,2017-11-26 23:59:59.999999999,31.25,terminal,Azadpur,53.125,
producer,Shopian,American,A,2017-12-03 23:59:59.999999999,31.25,terminal,Azadpur,53.125,
producer,Shopian,American,A,2018-10-07 23:59:59.999999999,22.321428571428573,terminal,Azadpur,53.57142857142857,
producer,Shopian,American,A,2018-10-14 23:59:59.999999999,25.0,terminal,Azadpur,55.357142857142854,
producer,Shopian,American,A,2018-10-21 23:59:59.999999999,23.214285714285715,terminal,Azadpur,50.0,
producer,Shopian,American,A,2018-10-28 23:59:59.999999999,18.75,terminal,Azadpur,48.214285714285715,
producer,Shopian,American,A,2018-11-04 23:59:59.999999999,18.75,terminal,Azadpur,48.214285714285715,
producer,Shopian,American,A,2018-11-11 23:59:59.999999999,16.517857142857142,terminal,Azadpur,40.17857142857143,
producer,Shopian,American,A,2018-11-18 23:59:59.999999999,18.75,terminal,Azadpur,52.67857142857143,
producer,Shopian,American,A,2018-11-25 23:59:59.999999999,19.196428571428573,terminal,Azadpur,50.892857142857146,
producer,Shopian,American,A,2018-12-02 23:59:59.999999999,21.875,terminal,Azadpur,50.0,
producer,Shopian,American,A,2019-10-06 23:59:59.999999999,48.125,terminal,Azadpur,46.875,
producer,Shopian,American,A,2019-10-13 23:59:59.999999999,48.125,terminal,Azadpur,46.875,
producer,Shopian,American,A,2019-10-20 23:59:59.999999999,48.125,terminal,Azadpur,46.875,
producer,Shopian,American,A,2019-10-27 23:59:59.999999999,48.125,terminal,Azadpur,46.875,
producer,Shopian,American,A,2019-11-03 23:59:59.999999999,48.125,terminal,Azadpur,46.875,
producer,Shopian,American,A,2019-11-10 23:59:59.999999999,48.125,terminal,Azadpur,48.660714285714285,
producer,Shopian,American,A,2019-11-17 23:59:59.999999999,48.125,terminal,Azadpur,49.107142857142854,
producer,Shopian,American,A,2019-11-24 23:59:59.999999999,48.125,terminal,Azadpur,56.25,
producer,Shopian,American,A,2019-12-01 23:59:59.999999999,48.125,terminal,Azadpur,54.910714285714285,
producer,Shopian,American,A,2020-10-04 23:59:59.999999999,30.46875,terminal,Azadpur,50.892857142857146,
producer,Shopian,American,A,2020-10-11 23:59:59.999999999,31.25,terminal,Azadpur,55.357142857142854,
