start_date,end_date,event_type,channel,weight,source,notes
2010-01-08,2010-01-20,Heavy snowfall,Weather,2.5,IMD,Winter blockage on NH-44
2010-02-10,2010-02-15,Landslide NH-44,Weather,2.5,Media,Shooting stones near Ramban
2011-01-12,2011-01-18,Heavy snowfall,Weather,2.5,IMD,Seasonal disruption
2011-02-06,2011-02-10,Landslide NH-44,Weather,2.5,Media,Traffic suspended
2012-01-05,2012-01-15,Heavy snowfall,Weather,2.5,IMD,Extended winter closure
2012-03-10,2012-03-14,Highway repair,Transport,1.5,NHAI,Maintenance work
2013-01-03,2013-01-12,Heavy snowfall,Weather,2.5,IMD,Severe winter
2013-02-18,2013-02-22,Landslide NH-44,Weather,2.5,Media,Shooting stones
2014-09-07,2014-09-20,Floods,Weather,3.0,IMD,Catastrophic Kashmir floods
2015-01-02,2015-01-10,Heavy snowfall,Weather,2.5,IMD,Winter disruption
2015-08-15,2015-08-20,Security alert,Security,2.5,Media,Independence Day security
2016-07-09,2016-08-31,Political unrest,Political,3.0,Media,Post-Burhan Wani unrest
2017-01-01,2017-01-10,Heavy snowfall,Weather,2.5,IMD,Seasonal snow
2017-04-01,2017-04-05,Highway widening,Transport,1.5,NHAI,Construction slowdown
2018-01-08,2018-01-15,Heavy snowfall,Weather,2.5,IMD,Winter closure
2018-03-20,2018-03-25,Landslide NH-44,Weather,2.5,Media,Shooting stones Ramban
2019-02-14,2019-02-20,Security lockdown,Security,2.5,Media,Pulwama aftermath
2019-08-05,2019-09-30,Political lockdown,Political,3.0,GOI,Article 370 abrogation
2020-01-10,2020-01-20,Heavy snowfall,Weather,2.5,IMD,Winter disruption
2020-03-25,2020-05-31,COVID lockdown,Policy,3.0,GOI,Nationwide lockdown
2020-06-01,2020-06-30,Movement restrictions,Policy,2.0,GOI,Partial reopening
2021-01-03,2021-01-10,Heavy snowfall,Weather,2.5,IMD,Seasonal closure
2021-02-07,2021-02-10,Landslide NH-44,Weather,2.5,Media,Traffic halted
2022-01-04,2022-01-12,Heavy snowfall,Weather,2.5,IMD,Winter disruption
2022-02-15,2022-02-18,Tunnel closed,Transport,3.0,NHAI,Banihal tunnel closure
2023-01-10,2023-01-18,Heavy snowfall,Weather,2.5,IMD,Extended winter block
2023-02-01,2023-02-04,Tunnel closed,Transport,3.0,NHAI,Traffic suspended
2023-08-10,2023-08-14,Rainfall-induced landslide,Weather,2.5,Media,Monsoon impact
2024-01-05,2024-01-12,Heavy snowfall,Weather,2.5,IMD,Winter closure
2024-02-20,2024-02-24,Landslide NH-44,Weather,2.5,Media,Traffic disruption
2024-12-24,2024-12-31,Heavy snowfall,Weather,2.5,IMD,Winter disruption
2025-01-02,2025-01-10,Heavy snowfall,Weather,2.5,IMD,Early winter
2025-02-15,2025-02-18,Tunnel closed,Transport,3.0,NHAI,Banihal tunnel maintenance
