Date,District,Market,Fruit,Variety,Grade,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
1/1/2012,,,,,,,,,0
1/2/2012,,,,,,,,,0
1/3/2012,,,,,,,,,0
1/4/2012,,,,,,,,,0
1/5/2012,,,,,,,,,0
1/6/2012,,,,,,,,,0
1/7/2012,,,,,,,,,0
1/8/2012,,,,,,,,,0
1/9/2012,,,,,,,,,0
1/10/2012,,,,,,,,,0
1/11/2012,,,,,,,,,0
1/12/2012,,,,,,,,,0
1/13/2012,,,,,,,,,0
1/14/2012,,,,,,,,,0
1/15/2012,,,,,,,,,0
1/16/2012,,,,,,,,,0
1/17/2012,,,,,,,,,0
1/18/2012,,,,,,,,,0
1/19/2012,,,,,,,,,0
1/20/2012,,,,,,,,,0
1/21/2012,,,,,,,,,0
1/22/2012,,,,,,,,,0
1/23/2012,,,,,,,,,0
1/24/2012,,,,,,,,,0
1/25/2012,,,,,,,,,0
1/26/2012,,,,,,,,,0
1/27/2012,,,,,,,,,0
1/28/2012,,,,,,,,,0
1/29/2012,,,,,,,,,0
1/30/2012,,,,,,,,,0
1/31/2012,,,,,,,,,0
2/1/2012,,,,,,,,,0
2/2/2012,,,,,,,,,0
2/3/2012,,,,,,,,,0
2/4/2012,,,,,,,,,0
2/5/2012,,,,,,,,,0
2/6/2012,,,,,,,,,0
2/7/2012,,,,,,,,,0
2/8/2012,,,,,,,,,0
2/9/2012,,,,,,,,,0
2/10/2012,,,,,,,,,0
2/11/2012,,,,,,,,,0
2/12/2012,,,,,,,,,0
2/13/2012,,,,,,,,,0
2/14/2012,,,,,,,,,0
2/15/2012,,,,,,,,,0
2/16/2012,,,,,,,,,0
2/17/2012,,,,,,,,,0
2/18/2012,,,,,,,,,0
2/19/2012,,,,,,,,,0
2/20/2012,,,,,,,,,0
2/21/2012,,,,,,,,,0
2/22/2012,,,,,,,,,0
2/23/2012,,,,,,,,,0
2/24/2012,,,,,,,,,0
2/25/2012,,,,,,,,,0
2/26/2012,,,,,,,,,0
2/27/2012,,,,,,,,,0
2/28/2012,,,,,,,,,0
2/29/2012,,,,,,,,,0
3/1/2012,,,,,,,,,0
3/2/2012,,,,,,,,,0
3/3/2012,,,,,,,,,0
3/4/2012,,,,,,,,,0
3/5/2012,,,,,,,,,0
3/6/2012,,,,,,,,,0
3/7/2012,,,,,,,,,0
3/8/2012,,,,,,,,,0
3/9/2012,,,,,,,,,0
3/10/2012,,,,,,,,,0
3/11/2012,,,,,,,,,0
3/12/2012,,,,,,,,,0
3/13/2012,,,,,,,,,0
3/14/2012,,,,,,,,,0
3/15/2012,,,,,,,,,0
3/16/2012,,,,,,,,,0
3/17/2012,,,,,,,,,0
3/18/2012,,,,,,,,,0
3/19/2012,,,,,,,,,0
3/20/2012,,,,,,,,,0
3/21/2012,,,,,,,,,0
3/22/2012,,,,,,,,,0
3/23/2012,,,,,,,,,0
3/24/2012,,,,,,,,,0
3/25/2012,,,,,,,,,0
3/26/2012,,,,,,,,,0
3/27/2012,,,,,,,,,0
3/28/2012,,,,,,,,,0
3/29/2012,,,,,,,,,0
3/30/2012,,,,,,,,,0
3/31/2012,,,,,,,,,0
4/1/2012,,,,,,,,,0
4/2/2012,,,,,,,,,0
4/3/2012,,,,,,,,,0
4/4/2012,,,,,,,,,0
4/5/2012,,,,,,,,,0
4/6/2012,,,,,,,,,0
4/7/2012,,,,,,,,,0
4/8/2012,,,,,,,,,0
4/9/2012,,,,,,,,,0
4/10/2012,,,,,,,,,0
4/11/2012,,,,,,,,,0
4/12/2012,,,,,,,,,0
4/13/2012,,,,,,,,,0
4/14/2012,,,,,,,,,0
4/15/2012,,,,,,,,,0
4/16/2012,,,,,,,,,0
4/17/2012,,,,,,,,,0
4/18/2012,,,,,,,,,0
4/19/2012,,,,,,,,,0
4/20/2012,,,,,,,,,0
4/21/2012,,,,,,,,,0
4/22/2012,,,,,,,,,0
4/23/2012,,,,,,,,,0
4/24/2012,,,,,,,,,0
4/25/2012,,,,,,,,,0
4/26/2012,,,,,,,,,0
4/27/2012,,,,,,,,,0
4/28/2012,,,,,,,,,0
4/29/2012,,,,,,,,,0
4/30/2012,,,,,,,,,0
5/1/2012,,,,,,,,,0
5/2/2012,,,,,,,,,0
5/3/2012,,,,,,,,,0
5/4/2012,,,,,,,,,0
5/5/2012,,,,,,,,,0
5/6/2012,,,,,,,,,0
5/7/2012,,,,,,,,,0
5/8/2012,,,,,,,,,0
5/9/2012,,,,,,,,,0
5/10/2012,,,,,,,,,0
5/11/2012,,,,,,,,,0
5/12/2012,,,,,,,,,0
5/13/2012,,,,,,,,,0
5/14/2012,,,,,,,,,0
5/15/2012,,,,,,,,,0
5/16/2012,,,,,,,,,0
5/17/2012,,,,,,,,,0
5/18/2012,,,,,,,,,0
5/19/2012,,,,,,,,,0
5/20/2012,,,,,,,,,0
5/21/2012,,,,,,,,,0
5/22/2012,,,,,,,,,0
5/23/2012,,,,,,,,,0
5/24/2012,,,,,,,,,0
5/25/2012,,,,,,,,,0
5/26/2012,,,,,,,,,0
5/27/2012,,,,,,,,,0
5/28/2012,,,,,,,,,0
5/29/2012,,,,,,,,,0
5/30/2012,,,,,,,,,0
5/31/2012,,,,,,,,,0
6/1/2012,,,,,,,,,0
6/2/2012,,,,,,,,,0
6/3/2012,,,,,,,,,0
6/4/2012,,,,,,,,,0
6/5/2012,,,,,,,,,0
6/6/2012,,,,,,,,,0
6/7/2012,,,,,,,,,0
6/8/2012,,,,,,,,,0
6/9/2012,,,,,,,,,0
6/10/2012,,,,,,,,,0
6/11/2012,,,,,,,,,0
6/12/2012,,,,,,,,,0
6/13/2012,,,,,,,,,0
6/14/2012,,,,,,,,,0
6/15/2012,,,,,,,,,0
6/16/2012,,,,,,,,,0
6/17/2012,,,,,,,,,0
6/18/2012,,,,,,,,,0
6/19/2012,,,,,,,,,0
6/20/2012,,,,,,,,,0
6/21/2012,,,,,,,,,0
6/22/2012,,,,,,,,,0
6/23/2012,,,,,,,,,0
6/24/2012,,,,,,,,,0
6/25/2012,,,,,,,,,0
6/26/2012,,,,,,,,,0
6/27/2012,,,,,,,,,0
6/28/2012,,,,,,,,,0
6/29/2012,,,,,,,,,0
6/30/2012,,,,,,,,,0
7/1/2012,,,,,,,,,0
7/2/2012,,,,,,,,,0
7/3/2012,,,,,,,,,0
7/4/2012,,,,,,,,,0
7/5/2012,,,,,,,,,0
7/6/2012,,,,,,,,,0
7/7/2012,,,,,,,,,0
7/8/2012,,,,,,,,,0
7/9/2012,,,,,,,,,0
7/10/2012,,,,,,,,,0
7/11/2012,,,,,,,,,0
7/12/2012,,,,,,,,,0
7/13/2012,,,,,,,,,0
7/14/2012,,,,,,,,,0
7/15/2012,,,,,,,,,0
7/16/2012,,,,,,,,,0
7/17/2012,,,,,,,,,0
7/18/2012,,,,,,,,,0
7/19/2012,,,,,,,,,0
7/20/2012,,,,,,,,,0
7/21/2012,,,,,,,,,0
7/22/2012,,,,,,,,,0
7/23/2012,,,,,,,,,0
7/24/2012,,,,,,,,,0
7/25/2012,,,,,,,,,0
7/26/2012,,,,,,,,,0
7/27/2012,,,,,,,,,0
7/28/2012,,,,,,,,,0
7/29/2012,,,,,,,,,0
7/30/2012,,,,,,,,,0
7/31/2012,,,,,,,,,0
8/1/2012,,,,,,,,,0
8/2/2012,,,,,,,,,0
8/3/2012,,,,,,,,,0
8/4/2012,,,,,,,,,0
8/5/2012,,,,,,,,,0
8/6/2012,,,,,,,,,0
8/7/2012,,,,,,,,,0
8/8/2012,,,,,,,,,0
8/9/2012,,,,,,,,,0
8/10/2012,,,,,,,,,0
8/11/2012,,,,,,,,,0
8/12/2012,,,,,,,,,0
8/13/2012,,,,,,,,,0
8/14/2012,,,,,,,,,0
8/15/2012,,,,,,,,,0
8/16/2012,,,,,,,,,0
8/17/2012,,,,,,,,,0
8/18/2012,,,,,,,,,0
8/19/2012,,,,,,,,,0
8/20/2012,,,,,,,,,0
8/21/2012,,,,,,,,,0
8/22/2012,,,,,,,,,0
8/23/2012,,,,,,,,,0
8/24/2012,,,,,,,,,0
8/25/2012,,,,,,,,,0
8/26/2012,,,,,,,,,0
8/27/2012,,,,,,,,,0
8/28/2012,,,,,,,,,0
8/29/2012,,,,,,,,,0
8/30/2012,,,,,,,,,0
8/31/2012,,,,,,,,,0
9/1/2012,Azadpur,Azadpur,Apple,American,A,35,37.5,36.25,1
9/2/2012,Azadpur,Azadpur,Apple,American,A,35,37.5,36.25,1
9/3/2012,Azadpur,Azadpur,Apple,American,A,37.5,40,38.75,1
9/4/2012,Azadpur,Azadpur,Apple,American,A,37.5,40,38.75,1
9/5/2012,Azadpur,Azadpur,Apple,American,A,37.5,41.25,39.375,1
9/6/2012,Azadpur,Azadpur,Apple,American,A,37.5,41.25,39.375,1
9/7/2012,Azadpur,Azadpur,Apple,American,A,37.5,41.25,39.375,1
9/8/2012,Azadpur,Azadpur,Apple,American,A,37.5,41.25,39.375,1
9/9/2012,Azadpur,Azadpur,Apple,American,A,37.5,41.25,39.375,1
9/10/2012,Azadpur,Azadpur,Apple,American,A,58.75,75,66.875,1
9/11/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
9/12/2012,Azadpur,Azadpur,Apple,American,A,37.5,40,38.75,1
9/13/2012,Azadpur,Azadpur,Apple,American,A,37.5,40,38.75,1
9/14/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
9/15/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
9/16/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
9/17/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
9/18/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
9/19/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
9/20/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
9/21/2012,Azadpur,Azadpur,Apple,American,A,37.5,46.25,41.875,1
9/22/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
9/23/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
9/24/2012,Azadpur,Azadpur,Apple,American,A,37.5,40,38.75,1
9/25/2012,Azadpur,Azadpur,Apple,American,A,37.5,40,38.75,1
9/26/2012,Azadpur,Azadpur,Apple,American,A,37.5,47.5,42.5,1
9/27/2012,Azadpur,Azadpur,Apple,American,A,37.5,47.5,42.5,1
9/28/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
9/29/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
9/30/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
10/1/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
10/2/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
10/3/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
10/4/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
10/5/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
10/6/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
10/7/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
10/8/2012,Azadpur,Azadpur,Apple,American,A,37.5,43.75,40.625,1
10/9/2012,Azadpur,Azadpur,Apple,American,A,37.5,46.25,41.875,1
