producer_market,variety,grade,horizon,dyn_mult_pos,dyn_mult_neg
Shopian,American,A,0,-0.0,0.0
Shopian,American,A,1,-0.07622231745234287,0.07623264838882285
Shopian,American,A,2,-0.14358399904465977,0.14360345997451932
Shopian,American,A,3,-0.2031150694530316,0.20314259903951995
Shopian,American,A,4,-0.25572581580308607,0.2557604760869459
Shopian,American,A,5,-0.30222070683263697,0.30226166888980843
Shopian,American,A,6,-0.34331069398974895,0.34335722525632617
Shopian,American,A,7,-0.3796240825618081,0.3796755356324349
Shopian,American,A,8,-0.41171613906558124,0.411771941794003
Shopian,American,A,9,-0.44007758180446727,0.4401372285548659
Shopian,American,A,10,-0.46514208442169713,0.4652051283370351
Shopian,American,A,11,-0.48729290718600454,0.4873589533551522
Shopian,American,A,12,-0.5068687574084811,0.5069374568276473
Shopian,American,A,13,-0.524168968602005,0.5242400128381344
Shopian,American,A,14,-0.539458077577557,0.5395311940520929
Shopian,American,A,15,-0.5529698694656128,0.5530448172865101
Shopian,American,A,16,-0.5649109525148646,0.5649875187931193
Shopian,American,A,17,-0.5754639173303733,0.5755419139247457
Shopian,American,A,18,-0.5847901288589283,0.5848693894990832
Shopian,American,A,19,-0.5930321938137483,0.5931125715578218
Shopian,American,A,20,-0.6003161412678113,0.6003975062555293
Shopian,American,B,0,-0.0,0.0
Shopian,American,B,1,-0.10636402649455831,0.10638477987420546
Shopian,American,B,2,-0.20043874096062345,0.20047784987201242
Shopian,American,B,3,-0.2836440519435098,0.283699395586362
Shopian,American,B,4,-0.3572358115895743,0.35730551420112266
Shopian,American,B,5,-0.4223247707416896,0.4224071732850161
Shopian,American,B,6,-0.4798933439607742,0.4799869790842797
Shopian,American,B,7,-0.5308104375147795,0.5309140074048398
Shopian,American,B,8,-0.575844564140101,0.5759569209326295
Shopian,American,B,9,-0.6156754425219239,0.6157955709771844
Shopian,American,B,10,-0.6509042565692584,0.6510312587484324
Shopian,American,B,11,-0.6820627293321398,0.6821958110443644
Shopian,American,B,12,-0.7096211485173772,0.7097596073326946
Shopian,American,B,13,-0.7339954647352761,0.7341386793825677
Shopian,American,B,14,-0.7555535696141069,0.7557009906039917
Shopian,American,B,15,-0.7746208485404951,0.7747719898716591
Shopian,American,B,16,-0.7914850918355395,0.7916395236593174
Shopian,American,B,17,-0.8064008384930688,0.8065581806255602
Shopian,American,B,18,-0.8195932180418726,0.8197531342256692
Shopian,American,B,19,-0.8312613485187229,0.8314235413476366
Shopian,American,B,20,-0.8415813418391962,0.8417455482693847
Shopian,Delicious,A,0,-0.0,0.0
Shopian,Delicious,A,1,-0.0039187162337670925,0.003938481315677145
Shopian,Delicious,A,2,-0.00686549501014243,0.006900122950297738
Shopian,Delicious,A,3,-0.009081400587094252,0.00912720503318178
Shopian,Delicious,A,4,-0.010747707391436713,0.010801916296666068
Shopian,Delicious,A,5,-0.012000729359104406,0.012061258212079056
Shopian,Delicious,A,6,-0.01294297123639025,0.013008252535516312
Shopian,Delicious,A,7,-0.013651514085773565,0.013720369108185372
Shopian,Delicious,A,8,-0.014184320981236913,0.014255863356164914
Shopian,Delicious,A,9,-0.014584978736939857,0.014658541935241373
Shopian,Delicious,A,10,-0.01488626357122362,0.01496134637928319
Shopian,Delicious,A,11,-0.01511282239874497,0.015189047916180845
Shopian,Delicious,A,12,-0.015283189096590457,0.015360273903532584
Shopian,Delicious,A,13,-0.015411300687086921,0.015489031658724001
Shopian,Delicious,A,14,-0.015507637470197082,0.015585854341882935
Shopian,Delicious,A,15,-0.01558008037519926,0.015658662631839206
Shopian,Delicious,A,16,-0.015634555668184225,0.01571341268537423
Shopian,Delicious,A,17,-0.015675519756326584,0.015754583386731018
Shopian,Delicious,A,18,-0.015706323748841095,0.0157855427473301
Shopian,Delicious,A,19,-0.01572948759790657,0.01580882342939567
Shopian,Delicious,A,20,-0.01574690624593653,0.015826329932984582
Shopian,Delicious,B,0,-0.0,0.0
Shopian,Delicious,B,1,-0.003808722572382264,0.0038954367991487176
Shopian,Delicious,B,2,-0.007243357939901106,0.007408269447897425
Shopian,Delicious,B,3,-0.010340648405043264,0.010576076770765958
Shopian,Delicious,B,4,-0.013133727494655797,0.013432746654654118
Shopian,Delicious,B,5,-0.01565247440865332,0.016008838567379412
Shopian,Delicious,B,6,-0.017923833655287512,0.018331910470170003
Shopian,Delicious,B,7,-0.01997210329230422,0.020426813621286954
Shopian,Delicious,B,8,-0.021819194857472305,0.0223159584244624
Shopian,Delicious,B,9,-0.02348486776911311,0.024019554166089852
Shopian,Delicious,B,10,-0.02498694070415004,0.02555582520577557
Shopian,Delicious,B,11,-0.026341482214912733,0.026941205932967564
Shopian,Delicious,B,12,-0.02756298262383541,0.028190516575227448
Shopian,Delicious,B,13,-0.028664509034907255,0.029317121738868867
